Game ID,Game Name,Other_Sales,Global_Sales,Rating
163,Super Mario Advance,0.2,5.49,E
164,Mario Kart: Super Circuit,0.23,5.47,T
165,Super Mario World,0.2,5.46,T
166,Pokemon Stadium,0.09,5.45,M
167,Call of Duty: World at War,0.84,5.43,E
168,Crash Bandicoot: The Wrath of Cortex,0.82,5.42,T
169,Minecraft,0.94,5.42,T
170,Final Fantasy XIII,0.52,5.36,E
171,Dr. Mario,0.2,5.34,M
172,Pokemon Pinball,0.16,5.31,T
173,Assassin's Creed III,0.44,5.3,T
174,Final Fantasy IX,0.14,5.3,T
175,Final Fantasy X-2,0.17,5.29,T
176,Donkey Kong 64,0.06,5.27,T
177,Assassin's Creed II,0.51,5.27,M
178,Professor Layton and the Curious Village,0.52,5.26,T
179,Tomb Raider II,0.28,5.24,T
180,Madden NFL 2004,0.71,5.23,M
181,Dragon Quest VIII: Journey of the Cursed King,0.2,5.21,T
182,Diablo III,0.62,5.2,M
183,Super Mario Bros. 3,0.2,5.2,T
184,New Super Mario Bros. U,0.31,5.19,E
185,Super Mario Land 3: Wario Land,0.15,5.19,T
186,FIFA Soccer 13,0.58,5.18,E
187,The Legend of Zelda: Phantom Hourglass,0.49,5.17,T
188,Donkey Kong Country 2: Diddy's Kong Quest,0.11,5.15,T
189,Tomodachi Life,0.28,5.15,E
190,Mario & Sonic at the Olympic Games,0.58,5.14,T
191,Medal of Honor: Rising Sun,0.8,5.13,E
192,Kirby's Dream Land,0.11,5.13,T
193,Fable III,0.38,5.13,M
194,Call of Duty: Advanced Warfare,0.38,5.13,T
195,Microsoft Flight Simulator,0.2,5.12,T
196,Guitar Hero II,0.68,5.12,T
197,Resident Evil 5,0.65,5.11,T
198,Grand Theft Auto V,0.41,5.08,M
199,Grand Theft Auto: Vice City Stories,1.21,5.08,T
200,FIFA Soccer 11,1.13,5.08,M
201,Super Mario Bros.,0.22,5.07,E
202,Resident Evil,0.73,5.05,T
203,Tony Hawk's Pro Skater,0.2,5.02,E
204,Super Smash Bros. for Wii U and 3DS,0.57,5.02,M
205,Warzone 2100,0.33,5.01,M
206,Spyro the Dragon,0.21,5,T
207,Link's Crossbow Training,0.46,5,T
208,Guitar Hero III: Legends of Rock,1.48,4.98,T
209,Fallout 3,0.44,4.96,T
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,0.37,4.96,T
211,Uncharted: Drake's Fortune,0.78,4.94,T
212,Madden NFL 06,0.66,4.91,M
213,LEGO Star Wars: The Complete Saga,0.46,4.9,T
214,Diddy Kong Racing,0.1,4.88,E
215,Monster Hunter Freedom 3,0.9,4.87,T
216,Dr. Mario,0.1,4.85,T
217,God of War III,0.63,4.84,T
218,StarCraft II: Wings of Liberty,0.59,4.83,T
219,Assassin's Creed,0.83,4.83,T
220,FIFA 15,1.07,4.82,M
221,Crash Team Racing,0.21,4.79,M
222,FIFA 17,0.69,4.77,E
223,Batman: Arkham City,0.41,4.76,E
224,Driver 2,0.25,4.73,T
225,The Simpsons: Hit & Run,0.79,4.7,T
226,Tony Hawk's Pro Skater 2,0.2,4.68,T
227,Animal Crossing: City Folk,0.37,4.68,T
228,The Lord of the Rings: The Two Towers,0.7,4.67,T
229,Forza Motorsport 4,0.47,4.64,T
230,Tomb Raider,0.24,4.63,T
231,Guitar Hero III: Legends of Rock,0.44,4.62,E
232,The Legend of Zelda: A Link to the Past,0.13,4.61,T
233,The Legend of Zelda: The Wind Waker,0.13,4.6,T
234,Mario & Sonic at the Olympic Winter Games,0.48,4.58,E
235,Luigi's Mansion: Dark Moon,0.3,4.58,T
236,Splatoon,0.43,4.57,E
237,The Last of Us,0.82,4.55,E
238,Guitar Hero III: Legends of Rock,0.42,4.53,T
239,Madden NFL 2005,0.08,4.53,E
240,Pitfall!,0.05,4.5,T
241,Madden NFL 07,0.61,4.49,T
242,Spider-Man: The Movie,0.23,4.48,E
243,Dragon Quest VII: Warriors of Eden,0.02,4.47,T
244,Uncharted: The Nathan Drake Collection,0.74,4.47,E
245,Call of Duty: Advanced Warfare,0.77,4.45,T
246,God of War,0.43,4.45,M
247,Nintendo Land,0.33,4.44,M
248,Michael Jackson: The Experience,0.39,4.42,E10+
249,Tony Hawk's Pro Skater 3,0.46,4.41,E10+
250,Winning Eleven: Pro Evolution Soccer 2007,0.86,4.39,T
251,The Elder Scrolls IV: Oblivion,0.4,4.39,E
252,Zelda II: The Adventure of Link,0.08,4.38,M
253,Need for Speed: Most Wanted,0.47,4.37,T
254,Resistance: Fall of Man,0.75,4.35,T
255,Sonic the Hedgehog,0.13,4.34,E10+
256,Kingdom Hearts II,0.17,4.33,M
257,FIFA 14,0.46,4.31,M
258,Call of Duty: Advanced Warfare,0.37,4.31,T
259,Asteroids,0.05,4.31,E10+
260,Fable II,0.41,4.31,T
261,Halo 5: Guardians,0.39,4.26,E
262,Super Mario 3D World,0.3,4.25,T
263,Batman: Arkham Asylum,0.61,4.25,T
264,Assassin's Creed: Revelations,0.72,4.24,M
265,Namco Museum,0.07,4.24,E
266,Metal Gear Solid 3: Snake Eater,1.93,4.23,M
267,Daxter,0.75,4.22,E
268,Warcraft II: Tides of Darkness,0.23,4.21,T
269,The Legend of Zelda: Ocarina of Time,0.3,4.21,M
270,FIFA Soccer 06,0.84,4.21,M
271,EyeToy Play,0.83,4.2,M
272,Uncharted 4: A Thief's End,0.65,4.2,E
273,Gran Turismo 5 Prologue,0.53,4.2,E10+
274,Assassin's Creed: Revelations,0.43,4.19,T
275,Street Fighter IV,0.53,4.19,E
276,FIFA 12,0.53,4.19,E
277,Teenage Mutant Ninja Turtles,0.04,4.17,E
278,Excitebike,0.07,4.16,M
279,Frogger,0.11,4.16,T
280,Madden NFL 2003,0.56,4.14,T
281,Watch Dogs,0.77,4.14,T
282,Half-Life,0.9,4.12,T
283,Super Mario World 2: Yoshi's Island,0.09,4.12,T
284,FIFA Soccer 07,0.89,4.11,E
285,The Legend of Zelda: Skyward Sword,0.4,4.1,M
286,Street Fighter II Turbo,0.07,4.1,T
287,Carnival Games,0.42,4.1,T
288,Fallout 4,0.37,4.09,T
289,World of Warcraft: The Burning Crusade,0.9,4.09,T
290,Fallout: New Vegas,0.33,4.08,M
291,God of War II,1.67,4.07,M
292,Forza Motorsport 2,0.41,4.06,E
293,World Soccer Winning Eleven 9,0.77,4.06,M
294,Namco Museum Vol.3,0.06,4.05,E
295,Tekken Tag Tournament,0.35,4.05,E
296,Far Cry 4,0.69,4.03,M
297,Star Fox 64,0.04,4.03,T
298,Minecraft,0.65,4.02,T
299,Golf,0.04,4.01,M
300,Fallout 3,0.59,4.01,T
301,Professor Layton and the Diabolical Box,0.37,4,T
302,Left 4 Dead 2,0.37,3.99,E10+
303,Namco Museum: 50th Anniversary,0.54,3.98,M
304,EA Sports Active,0.4,3.92,M
305,Assassin's Creed: Unity,0.7,3.92,M
306,Donkey Kong Land,0.11,3.91,M
307,Tony Hawk's Underground,0.42,3.9,E10+
308,Assassin's Creed IV: Black Flag,0.73,3.89,M
309,Monster Hunter 4 Ultimate,0.11,3.89,E10+
310,MotorStorm,0.67,3.88,T
311,The Elder Scrolls V: Skyrim,0.64,3.88,E
312,Tekken 5,0.7,3.87,T
313,Dragon Warrior III,0.9,3.87,T
314,Sports Champions,0.51,3.87,M
315,NBA 2K16,0.69,3.85,E10+
316,World Soccer Winning Eleven 8 International,0.68,3.85,T
317,Flash Focus: Vision Training in Minutes a Day,0.35,3.84,T
318,Namco Museum Vol.1,0.06,3.84,T
319,The Legend of Zelda: Link's Awakening,0.13,3.83,T
320,Mario & Luigi: Bowser's Inside Story,0.27,3.83,E
321,Big Brain Academy: Wii Degree,0.43,3.82,E10+
322,Nintendogs + cats,0.27,3.81,T
323,Batman: Arkham Knight,0.61,3.79,T
324,Mario & Sonic at the London 2012 Olympic Games,0.46,3.78,M
325,LEGO Indiana Jones: The Original Adventures,0.36,3.78,E
326,Resident Evil Director's Cut,0.25,3.77,M
327,Ratchet & Clank: Size Matters,0.87,3.77,E
328,Just Dance 2014,0.32,3.76,T
329,The Sims: Unleashed,0.17,3.76,T
330,Super Paper Mario,0.32,3.76,E10+
331,Harry Potter and the Sorcerer's Stone,0.22,3.73,T
332,The Witcher 3: Wild Hunt,0.56,3.73,T
333,Resident Evil 3: Nemesis,0.11,3.72,E
334,Spyro: Year of the Dragon,0.19,3.71,T
335,FIFA Soccer 2005,0.59,3.7,T
336,Pokémon Trading Card Game,0.1,3.7,E
337,Battlefield 4,0.61,3.69,E
338,MySims,0.41,3.69,M
339,Friend Collection,0.9,3.67,E
340,Tony Hawk's Pro Skater 4,0.35,3.67,T
341,Midnight Club 3: DUB Edition,0.79,3.66,T
342,Banjo-Kazooie,0.1,3.65,T
343,SOCOM: U.S. Navy SEALs,0.24,3.65,T
344,Guitar Hero: World Tour,0.35,3.65,E
345,Gran Turismo 6,0.74,3.64,E10+
346,Jak and Daxter: The Precursor Legacy,0.33,3.64,T
347,Pokemon Snap,0.06,3.63,M
348,FIFA Soccer 10,0.52,3.63,E
349,Pro Evolution Soccer 2008,2.93,3.63,T
350,Call of Duty: Ghosts,0.38,3.63,E
351,Resident Evil 4,0.25,3.62,M
352,Tom Clancy's The Division,0.57,3.61,T
353,Star Wars: Battlefront,0.44,3.61,E
354,Doom II: Hell on Earth,0.16,3.61,T
355,The Simpsons: Road Rage,0.42,3.61,T
356,Cooking Mama 2: Dinner With Friends,0.39,3.61,T
357,Luigi's Mansion,0.1,3.6,E
358,Star Wars: Battlefront II,0.37,3.59,M
359,WWF SmackDown!,0.16,3.58,T
360,Croc: Legend of the Gobbos,0.2,3.56,E10+
361,Grand Theft Auto: Liberty City Stories,0.5,3.54,E
362,The Getaway,0.49,3.54,T
363,Tomb Raider III: Adventures of Lara Croft,0.18,3.54,T
364,James Bond 007: Agent Under Fire,0.41,3.53,M
365,LEGO Star Wars: The Video Game,0.41,3.53,M
366,Battlefield 4,0.29,3.53,T
367,FIFA Soccer 11,0.4,3.53,T
368,Rugrats in Paris: The Movie,0.23,3.52,T
369,Spyro 2: Ripto's Rage!,0.17,3.52,T
370,Left 4 Dead,0.3,3.52,E
371,Mario & Sonic at the Olympic Winter Games,0.38,3.52,T
372,Resident Evil 5,0.34,3.51,M
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,0.08,3.51,T
374,Assassin's Creed: Brotherhood,0.24,3.5,M
375,Kung Fu,0.06,3.5,T
376,Batman: Arkham Asylum,0.31,3.5,M
377,Clubhouse Games,0.35,3.5,M
378,FIFA Soccer 2004,0.51,3.49,E
379,Star Wars Battlefront (2015),0.31,3.49,M
380,Battlefield: Bad Company 2,0.32,3.48,T
381,Guitar Hero: On Tour,0.35,3.48,M
382,Assassin's Creed: Unity,0.3,3.46,M
383,Far Cry 3,0.72,3.45,T
384,Monster Hunter 4,0.9,3.44,E10+
385,Borderlands,0.29,3.44,E
386,Tekken 4,0.29,3.44,T
387,Battlefield 4,0.38,3.43,M
388,LittleBigPlanet 2,0.47,3.42,T
389,Grand Theft Auto 2,0.22,3.42,T
390,Final Fantasy III,0.02,3.42,T
391,Spider-Man 2,0.43,3.41,M
392,F-1 Race,0.4,3.41,T
393,FIFA Soccer 2003,0.61,3.4,T
394,Crash Bash,0.17,3.39,E
395,LEGO Batman: The Videogame,0.32,3.38,E
396,Metal Gear Solid V: The Phantom Pain,0.47,3.38,E
397,The Legend of Zelda: Spirit Tracks,0.27,3.38,M
398,WWF War Zone,0.13,3.36,E10+
399,The Legend of Zelda: Majora's Mask,0.06,3.36,T
400,Professor Layton and the Unwound Future,0.28,3.36,T
401,Rugrats: Search For Reptar,0.18,3.34,T
402,Assassin's Creed IV: Black Flag,0.29,3.34,M
403,English Training: Have Fun Improving Your Skills!,0.02,3.33,T
404,James Bond 007: Nightfire,0.46,3.33,T
405,Ratchet & Clank,0.3,3.33,T
406,Mario Party 9,0.24,3.32,T
407,Star Wars Episode III: Revenge of the Sith,0.43,3.32,T
408,Max Payne,0.22,3.31,T
409,The Lord of the Rings: The Return of the King,0.46,3.28,E10+
410,Assassin's Creed Syndicate,0.5,3.28,M
411,Destiny,0.23,3.28,M
412,True Crime: Streets of LA,0.31,3.27,T
413,Wii Music,0.32,3.27,T
414,Gran Turismo (PSP),0.87,3.27,M
415,Monster Hunter X,0.04,3.26,M
416,Tekken,0.22,3.24,E10+
417,FIFA 16,0.23,3.23,T
418,L.A. Noire,0.51,3.23,E
419,Madden NFL 16,0.59,3.22,E
420,Yokai Watch 2 Ganso/Honke,0.9,3.22,T
421,007: Tomorrow Never Dies,0.16,3.21,E
422,Baseball,0.02,3.2,E
423,Killer Instinct,0.1,3.2,M
424,WWF SmackDown! 2: Know Your Role,0.16,3.2,T
425,Crisis Core: Final Fantasy VII,0.44,3.19,E
426,God of War: Chains of Olympus,0.66,3.19,T
427,Dragon Quest VI: Maboroshi no Daichi,0.9,3.19,T
428,Dance Central,0.26,3.19,T
429,Enter the Matrix,0.19,3.18,T
430,Super Mario Maker,0.2,3.18,M
431,Fallout: New Vegas,0.47,3.17,T
432,LEGO Batman: The Videogame,0.29,3.17,T
433,Rhythm Heaven,0.14,3.17,T
434,Ace Combat 04: Shattered Skies,0.17,3.17,M
435,Club Penguin: Elite Penguin Force,0.3,3.16,E
436,Animal Crossing,0.09,3.15,E
437,LEGO Batman: The Videogame,0.29,3.15,E
438,Sonic Rush,0.29,3.15,E
439,Resident Evil 6,0.42,3.15,E
440,Halo: The Master Chief Collection,0.24,3.15,E
441,FIFA Soccer 08,2.46,3.14,E
442,Spider-Man,0.16,3.13,T
443,Need for Speed III: Hot Pursuit,0.13,3.12,E
444,Star Wars Episode I Racer,0.04,3.12,T
445,Personal Trainer: Cooking,0.17,3.12,E
446,The Elder Scrolls IV: Oblivion,0.42,3.12,M
447,Dragon Warrior IV,0.01,3.12,E
448,Heavy Rain,0.5,3.12,M
449,Mass Effect 2,0.27,3.11,E
450,FIFA 15,0.3,3.11,M
451,Dragon Ball Z: Budokai,0.08,3.09,M
452,Madden NFL 2002,0.42,3.08,T
453,World Class Track Meet,0.07,3.08,E
454,Borderlands 2,0.24,3.07,T
455,The Legend of Zelda: A Link Between Worlds,0.22,3.07,T
456,Donkey Kong,0.34,3.07,T
457,The Sims: Vacation,0.14,3.07,E10+
458,Mass Effect 3,0.24,3.07,E
459,Kung Fu Panda,0.29,3.05,T
460,Far Cry 3,0.28,3.04,M
461,Epic Mickey,0.22,3.04,E10+
462,Saints Row 2,0.27,3.03,E10+
463,Rayman,0.16,3.03,M
464,Killzone 2,0.47,3.02,M
465,Tom Clancy's Splinter Cell,0.13,3.02,T
466,Mike Tyson's Punch-Out!!,0.07,3.02,M
467,WWE SmackDown! Shut Your Mouth,0.38,3.02,T
468,Gears of War: Ultimate Edition,0.31,3,T
469,NBA 2K13,0.19,3,T
470,Dragon Ball Z: Budokai Tenkaichi 3,1.09,3,E
471,wwe Smackdown vs. Raw 2006,0.41,3,M
472,Middle-Earth: Shadow of Mordor,0.53,2.99,M
473,Star Fox,0.07,2.99,E
474,The Sims: Livin Large,0.13,2.99,E
475,World Soccer Winning Eleven 6 International,0.45,2.99,T
476,Devil May Cry,0.13,2.99,T
477,Animal Crossing: Happy Home Designer,0.12,2.98,T
478,Battlefield: Bad Company 2,0.45,2.97,T
479,The Sims 4,0.29,2.97,E
480,Star Wars: The Old Republic,0.38,2.97,M
481,Sonic Heroes,0.49,2.96,T
482,Kirby Super Star Ultra,0.15,2.96,M
483,Hitman 2: Silent Assassin,0.41,2.96,E
484,Street Fighter IV,0.26,2.95,M
485,Wave Race 64,0.04,2.94,M
486,SOCOM II: U.S. Navy SEALs,0.15,2.94,M
487,WWE SmackDown! vs. RAW 2006,0.33,2.94,T
488,inFAMOUS,0.37,2.94,M
489,Pac-Man Collection,0.05,2.94,T
490,Mass Effect,0.27,2.93,E
491,WarioWare: Smooth Moves,0.26,2.92,T
492,Cooking Mama: Cook Off,0.3,2.91,T
493,Super Mario World 2: Yoshi's Island,0.09,2.91,E
494,FIFA 14,0.33,2.9,M
495,Titanfall,0.22,2.9,E
496,Sonic Mega Collection Plus,0.22,2.9,T
497,Sega Superstars Tennis,0.28,2.9,M
498,World Soccer Winning Eleven 7 International,0.45,2.9,E
499,Need for Speed: Most Wanted,0.61,2.89,E
500,Hot Shots Golf 3,0.2,2.89,E10+
501,Call of Duty: Finest Hour,0.24,2.89,E
502,Zumba Fitness 2,0.28,2.88,E
503,Syphon Filter,0.11,2.88,T
504,Imagine: Babyz,0.31,2.88,E10+
505,Colin McRae Rally,0.22,2.87,T
506,Call of Duty: Ghosts,0.22,2.86,E
507,Madden NFL 13,0.17,2.86,T
508,The Elder Scrolls III: Morrowind,0.11,2.86,E
509,Mortal Kombat,0.32,2.85,T
510,F-Zero,0.07,2.85,M
511,Yoshi's Story,0.05,2.85,T
512,Command & Conquer: Red Alert,0.14,2.85,T
513,Skylanders: Spyro's Adventure,0.31,2.85,T
514,FIFA 16,0.42,2.85,M
515,Assassin's Creed: Brotherhood,0.3,2.84,E
516,BioShock,0.28,2.83,T
517,Madden NFL 10,0.22,2.83,M
518,Medal of Honor,0.43,2.83,T
519,WWE SmackDown! vs. Raw,0.39,2.83,M
520,Metroid Prime,0.09,2.82,E
521,Finding Nemo,0.14,2.82,T
522,Myst,0.9,2.81,T
523,Need for Speed: Hot Pursuit,0.48,2.81,M
524,Imagine: Fashion Designer,0.3,2.81,T
525,WWE SmackDown! Here Comes the Pain,0.38,2.8,E
526,Star Wars: The Force Unleashed,0.26,2.8,T
527,Yoshi's Island DS,0.15,2.8,T
528,Hot Shots Golf,0.18,2.79,T
529,Killzone 3,0.38,2.79,T
530,A Bug's Life,0.11,2.79,T
531,WWF SmackDown! Just Bring It,0.41,2.79,T
532,Dragon Quest V: Tenkuu no Hanayome,0.01,2.79,T
533,Mortal Kombat Trilogy,0.11,2.79,T
534,Battlefield 3,0.48,2.79,E
535,NBA Street,0.38,2.79,T
536,Professor Layton and the Last Specter,0.34,2.79,T
537,Monster Hunter Tri,0.07,2.79,E10+
538,Jak II,0.36,2.78,E10+
539,inFAMOUS: Second Son,0.47,2.78,M
540,Ratchet & Clank: Going Commando,0.25,2.78,M
541,Tekken 6,0.43,2.78,T
542,The Sims,0.24,2.77,M
543,Sonic and the Secret Rings,0.3,2.77,T
544,Saints Row: The Third,0.3,2.77,T
545,Missile Command,0.03,2.76,E
546,Mario Paint,0.07,2.75,M
547,Assassin's Creed IV: Black Flag,0.31,2.74,T
548,Pokémon Stadium 2,0.23,2.73,T
549,Metroid,0.05,2.73,T
550,L.A. Noire,0.24,2.72,T
551,Call of Duty 3,0.27,2.71,T
552,The Legend of Zelda: A Link to the Past,0.1,2.7,E
553,Onimusha: Warlords,0.14,2.7,E
554,Mortal Kombat X,0.47,2.7,E
555,Mario Party,0.05,2.7,M
556,Madden NFL 12,0.16,2.69,T
557,LEGO Star Wars II: The Original Trilogy,0.19,2.69,M
558,Madden NFL 11,0.18,2.69,T
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,0.18,2.69,E
560,Skate 3,0.24,2.68,E10+
561,Burnout 3: Takedown,0.34,2.68,M
562,Yokai Watch 2 Shinuchi,0.9,2.68,E
563,Need for Speed: Shift,0.53,2.68,T
564,Final Fantasy XIII-2,0.26,2.68,T
565,Mortal Kombat,0.09,2.67,T
566,Call Of Duty 2: Big Red One,0.26,2.67,E
567,Guitar Hero: World Tour,0.25,2.67,E10+
568,Medal of Honor,0.14,2.67,T
569,Fable,0.09,2.66,T
570,Hannah Montana,0.26,2.65,M
571,Tom Clancy's Splinter Cell,0.4,2.65,T
572,Skylanders Giants,0.22,2.65,E
573,Medal of Honor Heroes,0.66,2.65,E
574,Super Mario Bros.: The Lost Levels,0.9,2.65,T
575,Star Wars: Shadows of the Empire,0.03,2.65,T
576,LEGO Star Wars: The Complete Saga,0.24,2.64,E
577,Midnight Club: Street Racing,0.14,2.63,T
578,Pac-Man: Adventures in Time,0.65,2.63,T
